Team ID,Team,Region,Country,Track,City,Status
3774,Aachen,Europe,Germany,,Aachen,Accepted
3793,Aalto-Helsinki,Europe,Finland,,Espoo,Accepted
3872,Aboa,Europe,Finland,,Turku,Accepted
3743,AFCM-Egypt,Africa,Egypt,,Cairo,Pending
4068,AfriSol_Kenya,Africa,Kenya,,Nairobi,Pending
3981,AHUT_China,Asia,China,,Ma'anshan,Accepted
4012,AISSU_China,Asia,China,,Shenzhen,Pending
3788,Aix-Marseille,Europe,France,,Marseille,Pending
3737,Alma,North America,United States,,Alma,Accepted
3813,ASIJ_Tokyo,Asia,Japan,High School,Chofu,Accepted
3906,ASTWS-China,Asia,China,,Hangzhou,Pending
4006,ASU,North America,United States,,Tempe,Accepted
4034,Athens,Europe,Greece,,Athens,Pending
3879,Austin_UTexas,North America,United States,,Austin,Accepted
3851,Baltimore_BioCrew,North America,United States,High School,Lusby,Accepted
3996,Beijing_United,Asia,China,,Shanghai,Pending
4033,BHSF,Asia,China,,Beijing,Pending
3900,Bielefeld-CeBiTec,Europe,Germany,,Bielefeld,Accepted
4021,Bilkent_UNAM,Europe,Turkey,,Ankara,Pending
3821,BIT,Asia,China,,Beijing,Accepted
3852,BIT-China,Asia,China,,Beijing,Accepted
3874,BJ101ID,Asia,China,,Beijing,Pending
3759,BJEA_China,Asia,China,High School,Beijing,Accepted
3887,BJU_China,Asia,China,,Beijing,Pending
3745,BNDS_China,Asia,China,High School,Beijing,Accepted
3805,BNU-China,Asia,China,,Beijing,Accepted
3784,BNUZ-China,Asia,China,,Zhuhai City,Accepted
3855,BOKU-Vienna,Europe,Austria,,Vienna,Accepted
4007,Bolivia,Latin America,Bolivia,,La Paz,Accepted
3827,British_Columbia,North America,Canada,,Vancouver,Accepted
3831,Brno_Czech_Republic,Europe,Czech Republic,,Brno,Accepted
3882,BS_United_China,Asia,China,High School,Shanghai,Pending
3881,BSC_United,Asia,China,High School,,Pending
3875,BUCT,Asia,China,,Beijing,Accepted
3742,BUCT-China,Asia,China,,Beijing,Accepted
3764,Bulgaria,Europe,Bulgaria,,Sofia,Accepted
3945,Calgary,North America,Canada,,Calgary,Accepted
3796,CAU_China,Asia,China,,Beijing,Accepted
3956,CCA_San_Diego,North America,United States,High School,San Diego,Pending
3778,CCU_Taiwan,Asia,Taiwan,,Chiayi,Accepted
3944,Chalmers-Gothenburg,Europe,Sweden,,Gothenburg,Accepted
3812,CHINA-FAFU,Asia,China,,Fuzhou,Accepted
4024,CHS_Missouri_US,North America,United States,High School,St. Louis,Pending
3905,City_of_London_UK,Europe,United Kingdom,High School,London,Accepted
3834,CityU_HK,Asia,Hong Kong,,Hong Kong,Accepted
3825,CKWA-China,Asia,China,High School,Beijing,Pending
3768,Concordia-Montreal,North America,Canada,,Montreal,Accepted
3833,Cornell,North America,United States,,Ithaca,Accepted
3853,CPU_CHINA,Asia,China,,Nanjing,Accepted
3935,Crete,Europe,Greece,,Heraklion,Accepted
4029,CSMU_Taiwan,Asia,Taiwan,,Taichung,Accepted
3734,CSU_CHINA,Asia,China,,Changsha,Accepted
3856,CTR_Alberta_Canada,North America,Canada,High School,High River,Accepted
3877,DKU,Asia,China,,Suzhou,Accepted
3844,DNHS_SanDiego_CA,North America,United States,High School,San Diego,Accepted
3841,DTU-Denmark,Europe,Denmark,,Kongens Lyngby,Accepted
3826,Duesseldorf,Europe,Germany,,Duesseldorf,Accepted
4046,Duke,North America,United States,,Durham,Pending
3898,DUT_China,Asia,China,,Dalian,Accepted
3995,ECNUAS,Asia,China,,Shanghai,Pending
3893,Ecuador,Latin America,Ecuador,,Quito,Accepted
3970,ECUST_China,Asia,China,,Shanghai,Accepted
3946,Edinburgh,Europe,United Kingdom,,Edinburgh,Accepted
4035,EPFL,Europe,Switzerland,,Lausanne,Pending
4020,Estonia_TUIT,Europe,Estonia,,Tartu,Accepted
3766,Evry_Paris-Saclay,Europe,France,,Evry-Courcouronnes,Accepted
3732,FAFU-CHINA,Asia,China,,Fuzhou,Pending
4065,FCB-UANL,Latin America,Mexico,,Monterrey,Accepted
3810,FDR-HB_Peru,Latin America,Peru,High School,Lima,Accepted
3828,FIS-Frankfurt,Europe,Germany,High School,Oberursel,Pending
3792,FSU,North America,United States,,Tallahassee,Accepted
3790,Fudan,Asia,China,,Shanghai,Accepted
4000,Fujian_United,Asia,China,,Shanghai,Pending
3769,FZU-China,Asia,China,,Fuzhou,Accepted
3842,GA_State_SW_Jiaotong,North America,United States,,Atlanta,Pending
4063,Gaston_Day_School,North America,United States,,Gaston,Accepted
3938,GCGS_China,Asia,China,High School,Shenzhen,Pending
3880,GDSYZX,Asia,China,High School,Guangzhou,Accepted
4031,Gifu,Asia,Japan,,Gifu,Pending
3902,GO_Paris-Saclay,Europe,France,,Orsay,Accepted
3897,GreatBay_SCIE,Asia,China,High School,Shenzhen,Accepted
3859,GreatBay_SZ,Asia,China,,Shenzhen,Pending
3858,GreatBay_United,Asia,China,,Shenzhen,Pending
3748,Groningen,Europe,Netherlands,,Groningen,Accepted
4002,Guangdong_United,Asia,China,,Shanghai,Pending
4058,Guelph,North America,Canada,,Guelph,Accepted
4032,Gunma,Asia,Japan,,Kiryu,Accepted
3846,Hamburg,Europe,Germany,,Hamburg,Accepted
4066,Harvard,North America,United States,,Boston,Accepted
3936,HBUT-China,Asia,China,,Wuhan,Pending
3963,Heidelberg,Europe,Germany,,Heidelberg,Accepted
3978,HiZJU-China,Asia,China,,Hangzhou,Accepted
3816,HK_CPU-WFN-WYY,Asia,Hong Kong,High School,Hong Kong,Accepted
3787,HK_GTC,Asia,China,High School,Hong Kong,Accepted
3776,HK_SSC,Asia,Hong Kong,High School,Hong Kong,Pending
3923,HKBU,Asia,Hong Kong,,Kowloon Tong,Accepted
4041,HKIS,Asia,Hong Kong,High School,Hong Kong,Pending
3987,HKU,Asia,Hong Kong,,Hong Kong,Pending
4061,HKUST,Asia,Hong Kong,,Hong Kong,Accepted
3988,Hong_Kong_HKU,Asia,Hong Kong,,Hong Kong,Accepted
3746,Hong_Kong_JSS,Asia,Hong Kong,High School,Hong Kong,Pending
3718,Hong_Kong_UCCKE,Asia,Hong Kong,High School,Hong Kong,Accepted
3973,Hopkins,North America,United States,,Baltimore,Pending
3986,HSGenius-Union-CHINA,Asia,China,High School,Lanzhou,Pending
3861,Humboldt_Berlin,Europe,Germany,,Berlin,Accepted
3711,HUST-China,Asia,China,,Wuhan,Accepted
3712,HUST2-China,Asia,China,,Wuhan,Accepted
3733,HZAU-China,Asia,China,,Wuhan,Accepted
3901,IAR_Gandhinagar,Asia,India,,Ahmedabad,Pending
3716,iBowu-China,Asia,China,,Beijing,Pending
3867,ICJFLS,Asia,China,High School,Jinan,Pending
3765,IISc-Bangalore,Asia,India,,Bengaluru,Pending
3982,IISER_Berhampur,Asia,India,,Berhampur,Accepted
3848,IISER_Bhopal,Asia,India,,Bhopal,Accepted
3799,IISER_Kolkata,Asia,India,,Mohanpur,Accepted
3744,IISER_Mohali,Asia,India,,Mohali,Accepted
3979,IISER_TVM,Asia,India,,Thiruvananthapuram,Accepted
3971,IISER-Pune-India,Asia,India,,Pune,Accepted
3889,IISER-Tirupati_India,Asia,India,,Tirupati,Accepted
3911,IIT_Mandi,Asia,India,,Mandi,Pending
4056,IOANNINA,Europe,Greece,,Ioannina,Pending
3933,Ionis_Paris,Europe,France,,Villejuif,Accepted
3940,Istanbul_Tech,Europe,Turkey,,Istanbul,Accepted
3980,Istanbul_United,Europe,Turkey,High School,Istanbul,Pending
4070,Ivy_Tech_Indiana_USA,North America,United States,Diagnostics(P),South Bend,Pending
3829,IvyMaker-China,Asia,China,,Shanghai,Pending
3803,Jiangnan_China,Asia,China,,Wuxi,Accepted
4004,Jiangsu_United,Asia,China,,Shanghai,Pending
3883,Jilin_China,Asia,China,,Changchun,Pending
3915,KAIT_Japan,Asia,Japan,,Atsugi Kanagawa,Accepted
3729,KCIS_NewTaipei,Asia,Taiwan,High School,New Taipei City,Pending
3794,KCL_UK,Europe,United Kingdom,,London,Accepted
4015,KEYSTONE,Asia,China,,Shenzhen,Pending
3824,Korea_HS,Asia,"Korea, Republic Of",,Suwon-si,Pending
3807,KU_Leuven,Europe,Belgium,,Leuven,Accepted
3837,KUAS_Korea,Asia,"Korea, Republic Of",,Seoul,Accepted
3815,Kyoto,Asia,Japan,,Kyoto,Accepted
3725,Lambert_GA,North America,United States,High School,Suwanee,Accepted
3962,Leiden,Europe,Netherlands,,Leiden,Accepted
3738,Lethbridge,North America,Canada,,Lethbridge,Accepted
3907,Lethbridge_HS,North America,Canada,High School,Lethbridge,Pending
3892,Linkoping_Sweden,Europe,Sweden,,Linkoping,Accepted
4011,LINKS_China,Asia,China,,Shenzhen,Pending
4044,LMSU,Europe,Russian Federation,,Moscow,Accepted
4025,Lubbock_TTU,North America,United States,,Lubbock,Accepted
3955,Lund,Europe,Sweden,,Lund,Accepted
3760,LZU-CHINA,Asia,China,,Lanzhou,Accepted
3726,MADRID_UCM,Europe,Spain,,MADRID,Pending
3710,Manchester,Europe,United Kingdom,,Manchester,Accepted
3758,Marburg,Europe,Germany,,Marburg,Accepted
4010,McMaster,North America,Canada,,Hamilton,Accepted
4049,MEPhI,Europe,Russian Federation,,Obninsk,Pending
4047,MiamiU_OH,North America,United States,,Oxford,Accepted
4037,Michigan,North America,United States,,Ann Arbor,Accepted
3719,MichiganState,North America,United States,,East Lansing,Accepted
4022,Mines,North America,United States,,Golden,Pending
3728,Mingdao,Asia,Taiwan,High School,Taichung City,Accepted
3942,MIPT_MSU,Europe,Russian Federation,,Dolgoprudny,Pending
3800,Missouri_Miners,North America,United States,,Rolla,Accepted
4074,MIT,North America,United States,,Cambridge,Pending
3721,MIT_MAHE,Asia,India,,Manipal,Pending
3845,Moscow,Europe,Russian Federation,,Moscow,Accepted
3947,MSP-Maastricht,Europe,Netherlands,,Maastricht,Accepted
4051,MTU-CORK,Europe,Ireland,,Cork,Pending
4003,Nanjing_high_school,Asia,China,,Nanjing,Pending
3964,Nanjing_NFLS,Asia,China,High School,Nanjing,Pending
3731,Nanjing-China,Asia,China,,Nanjing,Accepted
3811,Nantes,Europe,France,,Nantes,Accepted
3735,NAU-CHINA,Asia,China,,Nanjing,Pending
3931,Navarra_BG,Europe,Spain,High School,Navarre,Pending
3928,NAWI-Graz,Europe,Austria,,Graz,Accepted
3830,NCHU_Taichung,Asia,Taiwan,,Taichung,Accepted
3771,NCKU_Tainan,Asia,Taiwan,,Tainan,Accepted
3736,NCTU_Formosa,Asia,Taiwan,,Hsinchu,Accepted
3886,NDNF_China,Asia,China,,Beijing,Pending
4072,NDSU,North America,United States,,Fargo,Accepted
3894,NEFU_China,Asia,China,,Harbin,Accepted
3896,NEU_CHINA,Asia,China,,Shenyang,Accepted
3951,NEYCFLS_China,Asia,China,High School,Shenyang,Pending
3873,NJMU-China,Asia,China,,Nanjing,Accepted
3753,NJTech_China,Asia,China,,Nanjing,Pending
3756,NJU-China,Asia,China,,Nanjing,Accepted
4040,NMU_China,Asia,China,,Shanghai,Accepted
3868,NNU-China,Asia,China,,Nanjing,Accepted
3994,NOFLS_YZ,Asia,China,,Shanghai,Pending
4045,NOLA,North America,United States,,New Orleans,Pending
3948,North_Texas,North America,United States,,Denton,Accepted
3957,Northern_BC,North America,Canada,,Prince George,Accepted
3840,NOUS,Europe,Greece,,Alexandroupoli,Pending
4017,NOVA_LxPortugal,Europe,Portugal,,Oeiras,Pending
4018,NOVA_Portugal,Europe,Portugal,,Oeiras,Pending
3937,NPU-CHINA,Asia,China,,Xi'an,Accepted
3835,NTHU_Taiwan,Asia,Taiwan,,Hsinchu,Accepted
3762,NTNU-Trondheim,Europe,Norway,,Trondheim,Accepted
4053,NTU-Singapore,Asia,Singapore,,Singapore,Accepted
4016,NUDT_CHINA,Asia,China,,Changsha,Accepted
3927,NUS_Singapore,Asia,Singapore,,Singapore,Accepted
3722,NWU-CHINA-A,Asia,China,,Xi'an,Accepted
3779,NWU-CHINA-B,Asia,China,,Xi,Pending
4060,NYCU-Taipei,Asia,Taiwan,,Taipei,Accepted
4039,NYU_New_York,North America,United States,,Brooklyn,Accepted
3783,OhioState,North America,United States,,Columbus,Accepted
3777,OUC-China,Asia,China,,Qingdao,Accepted
3785,OUC-R,Asia,China,,Qingdao,Accepted
3786,Paris_Bettencourt,Europe,France,,Paris,Accepted
3839,Patras,Europe,Greece,,Patras,Accepted
3961,Phystech_Moscow,Europe,Russian Federation,,Moscow,Pending
3953,Pittsburgh,North America,United States,,Pittsburgh,Accepted
3863,PuiChing_Macau,Asia,Macao,High School,Macau,Pending
4008,Purdue,North America,United States,,West Lafayette,Accepted
3720,Qdai,Asia,Japan,,Fukuoka,Accepted
3797,QHFZ,Asia,China,High School,Beijing,Pending
3767,Queens_Canada,North America,Canada,,Kingston,Accepted
3820,RDFZ-CHINA,Asia,China,High School,Beijing,Accepted
4052,RHS-Calgary,North America,Canada,,Calgary,Accepted
3795,Rio_UFRJ_Brazil,Latin America,Brazil,,Rio de Janeiro,Accepted
3724,Rochester,North America,United States,,Rochester,Accepted
3860,RUBochum,Europe,Germany,,Bochum,Pending
3857,RUM-UPRM,Latin America,Puerto Rico,,Mayaguez,Accepted
3941,Saint_Joseph,Europe,Turkey,High School,Istanbul,Pending
4014,SCAU-China,Asia,China,,Guangzhou,Accepted
3977,SCU-China,Asia,China,,Chengdu,Accepted
3772,SCUT-China,Asia,China,,Guangzhou,Accepted
3775,SDSU,North America,United States,,San Diego,Pending
4059,SDU-Denmark,Europe,Denmark,,Odense M,Accepted
3999,Shanghai_city,Asia,China,,Shanghai,Pending
3992,Shanghai_high_school,Asia,China,,Shanghai,Pending
3916,Shanghai_HS,Asia,China,,Shanghai,Pending
3998,Shanghai_HS_United,Asia,China,,Shanghai,Pending
3991,Shanghai_United,Asia,China,,Shanghai,Pending
4030,Shanghai_United_HS,Asia,China,,Shanghai,Pending
3755,ShanghaiTech_China,Asia,China,,Shanghai,Accepted
3798,SHSBNU_China,Asia,China,High School,Beijing,Accepted
3993,SHSID,Asia,China,,Shanghai,Pending
3888,SJTang,Asia,China,,Shanghai,Pending
3714,SJTU-BioX-Shanghai,Asia,China,,Shanghai,Accepted
3741,SJTU-Software,Asia,China,,Shanghai,Accepted
3990,SMS_Shenzhen,Asia,China,High School,Shenzhen,Pending
3770,SNU_India,Asia,India,,Uttar Pradesh,Pending
3836,Sorbonne_U_Paris,Europe,France,,Paris,Accepted
3913,SPU,Asia,China,,Shenyang,Pending
3903,St_Andrews,Europe,United Kingdom,,St Andrews,Accepted
4009,Stanford,North America,United States,,Stanford,Accepted
4071,Stockholm,Europe,Unspecified,,Stockholm,Pending
3802,Stony_Brook,North America,United States,,Stony Brook,Accepted
3780,Stuttgart,Europe,Germany,,Stuttgart,Accepted
3952,SUNY_Oneonta,North America,United States,,Oneonta,Accepted
3914,SUSTech_Shenzhen,Asia,China,,Shenzhen,Accepted
3814,Sydney_Australia,Asia,Australia,,Camperdown,Accepted
3960,SYSU-CHINA,Asia,China,,Guangzhou,Accepted
3976,SYSU-Software,Asia,China,,Guang Zhou,Accepted
3895,SZ_SHD,Asia,China,,Wuhan,Pending
3740,SZPT-CHINA,Asia,China,,Shenzhen,Accepted
3876,SZTA_RMG_Szeged,Europe,Hungary,High School,Szeged,Pending
3838,SZU-China,Asia,China,,Shenzhen,Accepted
3717,TAS_Taipei,Asia,Taiwan,High School,Taipei,Accepted
3871,TAU_Israel,Asia,Israel,,Tel Aviv,Accepted
3917,TEC_COSTA_RICA,Latin America,Costa Rica,,Cartago,Pending
3809,TecCEM,Latin America,Mexico,,Monterrey,Accepted
4069,techdenlab,Asia,Unspecified,,Brahmavar,Pending
3983,The_Webb_Schools,Asia,China,,Shanghai,Pending
3727,Thessaloniki,Europe,Greece,,Thessaloniki,Accepted
3866,Thessaly,Europe,Greece,,Larissa,Accepted
3984,THINKER-CHINA,Asia,China,,Lanzhou,Pending
3959,THIS-China,Asia,China,High School,Beijing,Pending
3899,Thrace,Europe,Greece,,Alexandroupolis,Pending
3939,Tianjin,Asia,China,,Tianjin,Accepted
3715,TJUSLS_China,Asia,China,,Tianjin,Accepted
4064,TKS_International,North America,Canada,,Toronto,Pending
4019,TokyoTech,Asia,Japan,,Yokohama-shi,Accepted
3823,Tongji_China,Asia,China,,Shanghai,Accepted
3847,Tongji_Software,Asia,China,,Shanghai,Accepted
3949,Toronto,North America,Canada,,Toronto,Accepted
3930,Toulouse_INSA-UPS,Europe,France,,Toulouse,Accepted
3924,Tsinghua,Asia,China,,Beijing,Accepted
3985,TU_Darmstadt,Europe,Germany,,Darmstadt,Accepted
3781,TU_Kaiserslautern,Europe,Germany,,Kaiserslautern,Accepted
3972,TU-Eindhoven,Europe,Netherlands,,Eindhoven,Accepted
3806,TUDelft,Europe,Netherlands,,Delft,Pending
3757,Tuebingen,Europe,Germany,,Tuebingen,Accepted
3761,UA_Huntsville,North America,United States,,Huntsville,Accepted
4026,UC_San_Diego,North America,United States,,La Jolla,Pending
3817,UCAS-China,Asia,China,,Beijing,Accepted
3954,UChicago,North America,United States,,Chicago,Pending
3808,UCSC,North America,United States,,Santa Cruz,Accepted
3819,UESTC-China,Asia,China,,ChengDu,Accepted
3910,UFlorida,North America,United States,,Gainesville,Accepted
3932,UI_Indonesia,Asia,Indonesia,,Depok,Accepted
3709,UiOslo_Norway,Europe,Norway,,Oslo,Accepted
3713,UIUC_Illinois,North America,United States,,Urbana,Accepted
3862,ULaval,North America,Canada,,Québec,Accepted
3789,UM_Macau,Asia,Macao,,Macau,Accepted
3854,UMA_MALAGA,Europe,Spain,,MALAGA,Accepted
3965,UMaryland,North America,United States,,Baltimore,Pending
4067,Undecided,North America,Unspecified,High School,New York City,Pending
3749,UNESP_Brazil,Latin America,Brazil,,Araraquara,Accepted
3782,UNILausanne,Europe,Switzerland,,Lausanne,Accepted
4043,United_Shanghai_HS,Asia,China,High School,Shanghai,Pending
3929,UNIZAR,Europe,Spain,,Zaragoza,Pending
3750,UNSW_Australia,Asia,Australia,,Randwick,Accepted
3864,UParis,Europe,France,,Paris,Pending
3878,UParis_BME,Europe,France,,Paris,Accepted
4036,UPenn,North America,United States,,Philadelphia,Accepted
3791,UPF_Barcelona,Europe,Spain,,Barcelona,Accepted
3934,Uppsala,Europe,Sweden,,Uppsala,Accepted
3723,USAFA,North America,United States,,Colorado Springs,Accepted
3890,USP-Brazil,Latin America,Brazil,,Sao Paolo,Accepted
3912,USTC,Asia,China,,Hefei,Accepted
3958,USTC-Software,Asia,China,,Hefei,Accepted
3918,UTEC-Peru,Latin America,Peru,,Lima,Pending
3891,UTFPR-PG_Brazil,Latin America,Brazil,,Paraná,Pending
3804,UTokyo,Asia,Japan,,Meguro-ku,Accepted
3989,UZurich,Europe,Switzerland,,Zurich,Pending
4050,Victoria_Wellington,Asia,New Zealand,,Wellington,Accepted
3904,Vilnius-Lithuania,Europe,Lithuania,,Vilnius,Accepted
3975,Virginia,North America,United States,,Charlottesville,Pending
3849,VITBhopal,Asia,India,,Bhopal,Pending
3747,Wageningen_UR,Europe,Netherlands,,Wageningen,Accepted
3752,Warwick,Europe,United Kingdom,,Coventry,Accepted
4023,Washington,North America,United States,,Seattle,Accepted
3843,Waterloo,North America,Canada,,Waterloo,Pending
3997,WFLA_YK_PAO,Asia,China,,Shanghai,Pending
4013,Whittle,Asia,China,High School,Guangdong,Pending
3763,WHU-China,Asia,China,,Wuhan,Accepted
3773,William_and_Mary,North America,United States,,Williamsburg,Accepted
4062,WLC-Milwaukee,North America,United States,,Milwaukee,Accepted
3909,Worldshaper-Nanjing,Asia,China,,Hangzhou,Pending
3908,Worldshaper-Shanghai,Asia,China,,Hangzhou,Pending
4028,Wuhan_city,Asia,China,,Shanghai,Pending
4005,Wuhan_United,Asia,China,,Shanghai,Pending
4073,WVHS_SanDiego_CA,North America,United States,,San Diego,Pending
3926,XHD-Wuhan-A-China,Asia,China,,Wuhan,Pending
3921,XHD-Wuhan-B-China,Asia,China,,Wuhan,Pending
3925,XHD-Wuhan-Pro-China,Asia,China,,Wuhan,Pending
4054,XJTLU-CHINA,Asia,China,,Suzhou,Accepted
3832,XJTU-China,Asia,China,,Xi'an,Pending
3739,XMU-China,Asia,China,,Xiamen,Accepted
3822,YiYe-China,Asia,China,,Wuhan,Pending
4055,Yucai_SZ,Asia,China,High School,Shenzhen,Pending
3730,ZJU-China,Asia,China,,Hangzhou,Accepted
3884,ZJUT_China,Asia,China,,Hangzhou,Pending
3885,ZJUT-China,Asia,China,,Hangzhou,Pending